id,segment_risks,label,category,source
normal_aug_0001,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0002,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0003,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0004,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0005,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0006,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0007,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0008,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0009,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0010,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0011,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0012,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0013,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0014,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0015,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0016,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0017,"[1, 1, 1]",0,A,normal_combined
normal_aug_0018,"[1, 1, 1]",0,A,normal_combined
normal_aug_0019,"[1, 1, 1]",0,B,normal_combined
normal_aug_0020,"[1, 1, 1, 1]",0,B,normal_combined
normal_aug_0021,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0022,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0023,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0024,"[1, 1, 1]",0,B,normal_combined
normal_aug_0025,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0026,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0027,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0028,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0029,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0030,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0031,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0032,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0033,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
