id,segment_risks,label,category,source
phishing_대출 사기형_1,"[1, 1, 1, 1, 1, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_2,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_3,"[2, 2, 2, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_5,"[2, 2, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3]",1,대출 사기형,original
phishing_대출 사기형_6,"[2, 3, 3, 2]",1,대출 사기형,original
phishing_대출 사기형_7,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 1]",1,대출 사기형,original
phishing_대출 사기형_8,"[3, 3, 2, 2, 3, 3, 2, 2, 3]",1,대출 사기형,original
phishing_대출 사기형_9,"[2, 2, 2, 3, 3, 1]",1,대출 사기형,original
phishing_대출 사기형_10,"[2, 2, 2, 2, 2]",1,대출 사기형,original
phishing_대출 사기형_11,"[1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_12,"[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1]",1,대출 사기형,original
phishing_대출 사기형_13,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,대출 사기형,original
phishing_대출 사기형_14,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",1,대출 사기형,original
