id,category,tokens
phishing_대출 사기형_12,대출 사기형,웰컴 주주 문자 문자 문자 성함 최대 이용 가능 문자 가능 상품 대출 대체 상품 마이너스 저금리 이용 마이너스 가요 이용 한도 이율 등급 조금 차등 조회 문자 발송 대출 보결 가능 상품 금액 마이너스 표시 일반 마이너스 승인 허락 얼마 시간 일반 연동 체크카드 체크카드 하루 출금 금액 얼마 예전 체크카드 체크카드 체크카드 자동 하향 체크카드 가능 체크 연동 가요 연동 승인 승인 시간 시간 소요
phishing_대출 사기형_13,대출 사기형,보관 국민 연행 적금 장기 예산 통신 신설 평점 이상 목표 이상 필요 대출 기간 추천 단시간 점수 단양 채무 상환 능력 평가 이야기 채무 상환 능력 신규 대출 발생 상환 자금 일시 상환 기록 자금 필요 대출 능력 판단 점수 방식 대출 이내 상환 차이 조금 평점 대출 상환 생각 마라 조건 문제 이해 평균 부족 신규 대출 발생 상환 평점 보완 방식 가능 공인 행복 기금 공인 행복 기금 국민은행 국민 행복 기금 상품 국민 행복 기금 국민 행복 기금 국민 행복 기금 마포 지점 마포 지점 통화 대표 대표 대표 대표 대표 국민 행복 기금 국민 행복 기금 상품 이름 국민은행 예신 영업부 국민은행 예신 영업부 국민은행 국민은행 지점 마포 지점 마포 지점 통화 대표 대표 대표 국민 행복 기금 국민 행복 기금 상품 이름 국민은행 예신 영업부 국민은행 예신 영업부 국민은행 국민은행 지점 마포 지점 마포 지점 통화 대표 대표 대표 대표 서울 서울 공인 시작 핸드폰 대표 공인 공인 대표 생각 생각 생각 대출 자체 이해
phishing_대출 사기형_15,대출 사기형,감사 체제 대리 체제 연결 체제 대리 외근 사기 신고 사기 사기 보이스 피싱 사기 경찰 신고 경찰 신고 사기 대포통장 이용 체제 대리 체제 대리 날짜 퇴사 날짜 퇴사 날짜 대출 거래 유도 한도 한도 거래 내역 거래 사람 입금 출금 출금 출금 수건 인출 얼마 얼마 생각 외근 외근 외근 생각 경찰서 경찰서 직급 정지 처벌 피해자 경찰 얘기 출책 경찰 벌금 징역 신고 신고 경찰서 아침 연결 연결 연결 체제 대리 퇴사
phishing_대출 사기형_17,대출 사기형,통화 전산 심사 전산 승인 통화 부결 사항 취소권 부결 승인 승인 부결 만약 부결 부결 환급 승인 취소권 입금 얘기 환불 절차 환불 대출금 입금 입금 환급 사람 사나 입금 납부 증명서 납부 증명서 해당 요청 수요일
phishing_대출 사기형_22,대출 사기형,조치근 심사 결과 통화 메모 가능 심사 낙부 금액 정확 금액 원금 이자 예정 설정 동의 약정 며칠 대출 약정 원금 이자 납부 날짜 며칠 날짜 설정 가능 설정 가능 며칠 날짜 약정 동의 연동 예자 연말 지연 예정 연동 예자 국민은행 지급 보증 비용 납부 가능 자동 출금 이체 증서 발행 의사 이체 송금 회사 이름 회사 이름 대자 개인 실명 팀장 이상 팀장 성함 개인 확정 승인서 대출 개인 작년 법인 설정 가능 예측 과정 문제 사항 가속화 발생 그때 책임 회피 형식 팀장 이상 지정 나중 반환 이해 핸드폰 휴대폰 성함 김민철 통화 가능 업무 시간 휴대폰
phishing_대출 사기형_24,대출 사기형,본점 대출금 승인 본점 자금 송달 대출 과장 결제 전달 대출금 송금 대출금 당부 동안 지점 관리 다음 이후 본점 본점 집중 관리 잔고 정리 동안 상환 제면 실적 순번 본점 잔고 증명 대출금 환급 환급 체크 매입 비용 월요일 나머지 비밀 부탁 우체국 국민은행 지원 자금 수납 자분 수납 자분 서울 거주 나이 고모 아이 고모 서울 거주 고모 일전 얘기 정상 모니터링 직원 연말 실적 문제 무단 가능 연말 정상 서울 거주 고모 대출 중간 중간
phishing_대출 사기형_33,대출 사기형,가능 메모 전산 이관 요청 다음 기업 납부 증명서 요청 전산 납부 납부 증명서 납부 요청 센터 채권 회수 요청 채권 회수 비행기 납부 납부 전산 이관 요청 요청 지인 비행기 상환 이번 인척 관계 대출 대출 대출 얘기 등급 관리 다음 관리 대출 대출 우회 전산 이관 전산 이관 말장 소용 채권 회수 대출 배정 납부 전산 이관 요청 내일 금요일 회사 자금 잠시 정리 전산 이관 요청 다음 우회 염초 구정 지인 대출 금액 업계 금액 원이 뒷자리 납부 이자 이자 긍정 생각 청구 납부 납부 납부 다음 감사
phishing_대출 사기형_34,대출 사기형,대출 문구 당일 만기 상환 제도 대출금 이자 원금 납부 전산 이자 원금 납부 의미 초과 기존 대출 완납 전산 중간 만약 캐피탈 롯데 캐피탈 대출 완납 완납 대출 발생 당일 만기 상환 제도 당일 만기 상환 제도 캐피탈 대출 카드 카드 대출 당사 대출 저녁 오전 카드 대출금 카드 카드 기업 납부 증명서 요청 하루 대출 카드 동안 이자 원금 납부 공문 요청 공문 첨부 조건부 승인 카드 등급 상향 등급 상향 납부 전사 임의 캐피탈 만약 가정 임의 캐피탈 센터 필요 공문 요청 캐피탈 공문 요청 상환 캐피탈 공문 공문 요청 다음 납부 요청 캐피탈 정리 정리 걱정 캐피탈 다음 이자 선납 완납 공문 요청 김재성 대리 공문 김재성 대리 통화 다음 김재성 대리
phishing_대출 사기형_35,대출 사기형,캐피탈 채권 회수 채용 과장 수고 농협 요청 주민 앞자리 자리 부탁 기대 이용 농협 중앙 공문 접수 전산 이관 요청 기업 납부 증명서 요청 공문 자금 전액 상환 농협 저금리 대출 요즘 일금 대출 상담 신규 대출 기존 대출 상환 다음 상환 능력 대출 사례 요청 공문 사례 유사 요청 기업 납부 증명서 전산 이관 요청 상환 공문 상환 상태 상환 상환 절차 잠시 채권 회수 중도 상환 금액 가능 금액 납부 기업 열람 메모 가능 기업 납부 부산 열람 요청 채권 회수 납부 요청 배정 열람 열람 시간 농협 오전 열람 납부 납부 인터넷 거래 인터넷 뱅킹 납부 기업 기업 열람 납부 납부 감사
phishing_대출 사기형_36,대출 사기형,처음 고향 경기도 일산 경기도 일산 핸드폰 핸드폰 상환금 관계 오빠 친오빠 얘기 목적 현금 필요 얘기 남편 사업 오빠 사업 자금 얘기 입금 우체국 이체 정상 이체 다음 선생 학생 전문가 전문가 얘기 이동 부탁 상환 전산 상환금 클레임 다음 창구 직원 평점 작업 얘기 업무 사람 사람 기인 대기 이상 이상 화장실 대기 만약 창고 사람 현금 얼마 수표 얼마 얘기 실사 직원 동선 직원 이동 직원 현장 걱정 업무 창고 직원 업무 중요 작업 월요일 월요일 월요일 시티 대출 작업 명시 업무 전산 최초 입금 대기 대기 시간 음악 다음 개인 볼일 이후
