id,filename,label,category,stt_text,human_transcription,ref_len,cer,sub,del,ins,whitespace
S00000365_t0001,0001.wav,0,교육,네 고객님 주관극 A 진혁 상다원입니다.,네 고객님 중앙교육의 이진혁 상담원입니다.,23,0.304348,6,1,0,1
S00000365_t0002,0002.wav,0,교육,네 안녕하세요. 결제 때문에 전화드렸어요,네 안녕하세요. 결제 때문에 전화 드렸어요.,24,0.083333,0,2,0,1
S00000365_t0004,0004.wav,0,교육,중앙교육학집 몇 년 했었고요.,중앙교육 학습지 몇 년 했었고요.,18,0.166667,1,2,0,1
S00000365_t0005,0005.wav,0,교육,지금은 학습기용 안 하고 있거든요. 그리고 저희 서초로 이사했고요,지금은 학습지 이용 안 하고 있거든요. 그리고 저희 서초로 이사도 했고요.,41,0.146341,1,5,0,2
S00000365_t0006,0006.wav,0,교육,근데 며칠 전에 갑자기 여기 학습지 결제 문자가 뜨더라고요 18만 원이 결제됐는데 저희 지금 여기서 학습지를 이용 안 하고 있어요 어떻게 된 건가요?,근데 며칠 전에 갑자기 여기 학습지 결제 문자가 뜨더라고요. (18)/(십팔)만 원이 결제를 됐는데 저희 지금 여기서 학습지 이용 안 하고 있어요. 어떻게 된 건가요?,93,0.129032,0,11,1,1
S00000365_t0008,0008.wav,0,교육,"빨리 좀 알아봐 주세요. 그때 분명히 선생님하고도 잘 인사했고, 마치고 끝났는데 갑자기 결제 문자 와서 놀랐거든요",네 빨리 좀 알아봐 주세요. 그때 분명히 선생님하고도 잘 인사했고 마치고 끝냈는데 갑자기 결제 문자 와서 놀랬거든요.,65,0.092308,2,3,1,1
S00000365_t0009,0009.wav,0,교육,"네, 알아본 결과 학습 종료가 안 된 걸로 나와 있습니다.",네 알아본 결과 학습 종료가 안 된 걸로 나와있습니다.,30,0.066667,0,0,2,1
S00000365_t0010,0010.wav,0,교육,학습이 종료 안 됐다구요?,학습이 종료 안됐다고요?,13,0.153846,1,0,1,1
S00000365_t0011,0011.wav,0,교육,저희 저번에 분명히 끝내고 이사까지 했는데요.,아/ 저희 저번에 분명히 끝내고 이사까지 했는데요.,28,0.107143,0,3,0,1
S00000365_t0013,0013.wav,0,교육,아니 선생님하고 어떻게 이야기가 됐길래 학습 종료가 안 돼요.,아니 선생님하고 어떻게 이야기가 됐길래 학습 종료가 안 돼요?,34,0.029412,1,0,0,0
S00000365_t0014,0014.wav,0,교육,바라보고 처리해드리겠습니다.,알아보고 처리해 드리겠습니다.,16,0.187500,2,1,0,1
S00000365_t0015,0015.wav,0,교육,처리해주는 건 당연하고요. 그것보다 저희 카드번호도 분명히 개인 정보인데 해자면 삭제해야 되는 거 아닌가요?,처리해 주는 건 당연하고요. 그것보다 저희 카드번호도 분명히 개인 정보인데 해제하면 삭제해야 되는 거 아닌가요?,62,0.048387,1,2,0,1
S00000365_t0016,0016.wav,0,교육,예전에 저희 학습지할 때도 결제금액 이상해서 고객센터에 문의해 보니까 저희가 하지도 않은 감옥을 등록시켜서 그게 두 달 분이라를 결설됐더라고요.,예전에 저희 학습지 할 때도 결제금액 이상해서 고객센터에 문의해보니까 저희가 하지도 않은 과목을 등록시켜서 그게 (둘)/(두) 달 분이나 결제됐더라고요.,85,0.152941,4,7,2,2
S00000365_t0018,0018.wav,0,교육,저희가 알았으니까 망정이지? 몰라서 그렇게 남의 기자회수 통 계속 빼갔을 거 아니에요. 통지 같은 것도 안 해주고,저희가 알았으니까 망정이지 몰랐으면 그렇게 남의 계좌에서 돈을 계속 빼 갔을 거 아니에요. 통지 같은 것도 안 해주고.,66,0.181818,7,4,1,1
S00000365_t0020,0020.wav,0,교육,그때는 이제 애가 여기 선님도 좋아하고 학습지도 마음에 들어 하고 있어서 그냥 넘겼거든요.,그때는 이제 애가 여기 선생님도 좋아하고 학습지도 마음에 들어하고 있어서 그냥 넘겼거든요.,50,0.040000,0,1,1,1
S00000365_t0021,0021.wav,0,교육,남편은 이런거 그냥 넘기면 안된다고 했지만 애가 잘하고 있는데 괜히 선생님이 불편하게 만들어서 좋을 거 없으니까,남편은 이런 거 그냥 넘기면 안 된다고 했지만 애가 잘하고 있는데 괜히 선생님 불편하게 만들어서 좋을 거 없으니까,63,0.047619,0,2,1,2
S00000365_t0022,0022.wav,0,교육,근데 저희는 분명히 그만 붙는데 결제하는 건 좀 아니잖아요?,근데 저희는 분명히 그만뒀는데 결제하는 건 좀 아니잖아요.,32,0.093750,2,0,1,1
S00000365_t0023,0023.wav,0,교육,한번 이해하고 넘어갔으면 좀 더 조심해져야 되는 거 아닌가요?,한번 이해하고 넘어갔으면 좀 더 조심해 줘야 되는 거 아닌가요?,35,0.057143,1,1,0,1
S00000365_t0025,0025.wav,0,교육,그러면 이거 어떻게 처리해줄까요?,어/ 그러면 이거 어떻게 처리해 줄 거예요?,24,0.291667,1,6,0,3
S00000365_t0026,0026.wav,0,교육,당장 학습 종료해주시고요. 저희 결제 등금의 환부 처리 해주셨으면 좋겠네요,지금 당장 학습 종료해주시고요. 저희 결제된 금액 환불 처리해 주셨으면 좋겠네요.,45,0.222222,6,4,0,5
S00000365_t0027,0027.wav,0,교육,저희 이사 오고 나서 바로 결제가 안 됐어요.,어/ 저희 이사 오고 나서 바로 결제가 안됐어요.,27,0.148148,0,3,1,2
S00000365_t0028,0028.wav,0,교육,그리고 한 달 지나서 갑자기 결제가 된 게 좀 이상하지 않나요?,그리고 (하나)/(한) 달 지나서 갑자기 결제가 된 게 좀 이상하지 않나요?,42,0.166667,0,7,0,0
S00000365_t0029,0029.wav,0,교육,계속 결제 됐으면 모르겠는데 갑자기 승인티니까 놀랐다구요,계속 결제 됐으면 모르겠는데 갑자기 승인 뜨니까 놀랐다고요.,33,0.121212,2,2,0,1
S00000365_t0030,0030.wav,0,교육,죄송합니다. 확인 후 처리해드리겠습니다,죄송합니다. 확인 후 처리해 드리겠습니다.,23,0.086957,0,2,0,1
S00000365_t0031,0031.wav,0,교육,환불이 얼마나 걸리죠?,어/ 환불은 얼마나 걸리죠?,15,0.266667,1,3,0,1
S00000365_t0032,0032.wav,0,교육,시스템상 바로 해지는 불가능합니다. 학습지는 한 달 후에 종료됩니다,시스템상 바로 해지는 불가능합니다. 학습지는 (하나)/(한) 달 후에 종료됩니다.,45,0.177778,0,8,0,0
S00000365_t0033,0033.wav,0,교육,"아니 그건 바로 해 주셔야죠. 저희는 분명 전화해지 다 했는데 시스템은 그쪽 문제고, 저희는 지금 이용하지도 않는 학습지가 결제됐으니까 금액을 돌려달라는 건데 그걸 지금 바로 처리해 주는 것도 아니고 놓치겠다고요?",어/ 아니 그건 바로 해주셔야죠. 저희는 분명 전에 해지 다 했는데 시스템은 그쪽 문제고 저희는 지금 이용하지도 않는 학습지가 결제됐으니까 금액을 돌려 달라는 건데 그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?,121,0.090909,3,5,3,5
S00000365_t0034,0034.wav,0,교육,상부 확인 후 결제 지선을 바로 해드리겠습니다.,상부 확인 후 결제 취소는 바로 해드리겠습니다.,26,0.115385,3,0,0,0
