id,segment_risks,label,category,source
normal_aug_0001,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0002,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0003,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0004,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0005,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0006,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0007,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0008,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0009,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0010,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0011,"[1, 1, 1]",0,B,normal_combined
normal_aug_0012,"[1, 1, 1]",0,B,normal_combined
normal_aug_0013,"[1, 1, 1]",0,B,normal_combined
normal_aug_0014,"[1, 1, 1, 1]",0,B,normal_combined
normal_aug_0015,"[1, 1, 1]",0,B,normal_combined
normal_aug_0016,"[1, 1, 1]",0,B,normal_combined
normal_aug_0017,"[1, 1, 1]",0,B,normal_combined
normal_aug_0018,"[1, 1, 1, 1]",0,B,normal_combined
normal_aug_0019,"[1, 1, 1]",0,B,normal_combined
normal_aug_0020,"[1, 1, 1]",0,B,normal_combined
normal_aug_0021,[1],0,A,normal_combined
normal_aug_0022,"[1, 1, 1]",0,A,normal_combined
normal_aug_0023,[1],0,A,normal_combined
normal_aug_0024,"[1, 1, 1]",0,A,normal_combined
normal_aug_0025,[1],0,A,normal_combined
normal_aug_0026,"[1, 1]",0,A,normal_combined
normal_aug_0027,[1],0,A,normal_combined
normal_aug_0028,"[1, 1]",0,A,normal_combined
normal_aug_0029,[1],0,A,normal_combined
normal_aug_0030,"[1, 1]",0,A,normal_combined
normal_aug_0031,"[1, 1, 1]",0,B,normal_combined
normal_aug_0032,"[1, 1, 1]",0,B,normal_combined
normal_aug_0033,"[1, 1, 1]",0,B,normal_combined
normal_aug_0034,"[1, 1, 1]",0,B,normal_combined
normal_aug_0035,"[1, 1, 1]",0,B,normal_combined
normal_aug_0036,"[1, 1, 1]",0,B,normal_combined
normal_aug_0037,"[1, 1, 1]",0,B,normal_combined
normal_aug_0038,"[1, 1, 1]",0,B,normal_combined
normal_aug_0039,"[1, 1, 1]",0,B,normal_combined
normal_aug_0040,"[1, 1, 1]",0,B,normal_combined
normal_aug_0041,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0042,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0043,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0044,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0045,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0046,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0047,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0048,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0049,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0050,"[1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0051,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0052,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0053,"[1, 1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0054,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0055,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0056,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0057,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0058,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0059,"[1, 1, 1, 1]",0,B,normal_combined
normal_aug_0060,"[1, 1, 1, 1, 1]",0,B,normal_combined
normal_aug_0061,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0062,"[1, 1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0063,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
normal_aug_0064,"[1, 1, 1, 1, 1, 1]",0,A,normal_combined
