id,text,label,binary_label,category,source,filename,segment_risks
aug_수사기관 사칭형_0508,김민수 씨 맞으십니까 경찰청 금융범죄수사팀입니다 본인 명의 국민은행 통장이 범죄조직에 넘어간 정황이 확인돼서 급히 연락드렸습니다 뭐라고요 저 국민은행에 통장 하나 있긴 한데 그게 왜요 음 설명드리겠습니다 최근 본인 주민등록번호로 개설된 계좌가 대포통장으로 사용됐고 피해 신고가 여러 건 접수됐습니다 지금 단계에서는 계좌 압수 및 지급정지 검토가 이미 올라간 상태입니다 아니 그럼 제가 범죄에 연루됐다는 건가요 일단은 명의도용 가능성이 큽니다 다만 본인께서 아무 협조 없이 전화 끊고 제3자에게 알리면 상황이 더 커집니다 가족 친구 은행 창구에 바로 문의하시면 안 됩니다 왜요 수사 보안 때문에 그렇습니다 지금 밖으로 새면 자금 추적이 끊겨요 저희가 지금 확인하는 건 계좌번호 최근 거래내역 그리고 본인 신분확인입니다 신분확인요 네 주민등록번호 전체를 말씀해 주시고요 그리고 국민은행 계좌번호 앞 여덟 자리 비밀번호 변경 여부도 말씀하셔야 합니다 아니 비밀번호는 왜요 계좌 접근 경로가 필요합니다 지금 확인이 안 되면 음 쉽게 말해서 묶입니다 묶여요 네 지급정지되고 추가 압수 조치가 들어갑니다 아 잠깐만요 저 지금 너무 갑자기 말씀하셔서 갑작스러우신 거 압니다 그래서 제가 반복해서 안내드리는 겁니다 본인 휴대전화로 받은 인증 문자도 보시면 안 되고 다른 사람한테 보여주시면 안 됩니다 네 문자까지요 네 그 문자에 추적 정보가 들어갈 수 있어요 그러니까 지금 바로 계좌번호 불러주시고 마지막으로 최근에 누군가 대신 통장 개설한 적 있냐고요 없는데요 그럼 더더욱 명의도용 피해자일 가능성이 높습니다 그래서 지금 협조하시면 피해자 진술로 정리할 수 있습니다 협조 안 하시면 공범 오해까지 같이 갑니다 어 알겠습니다 계좌번호는요 잠깐만요 제가 적어놓은 게 천천히 하세요 다만 시간은 많지 않습니다 지금 바로 바로 확인해야 합니다,3,1,수사기관 사칭형,phishing_clean_llm,,"[2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3]"
asr_normal_aug_0581,어제 회사 보안 교육 들은 거 계속 생각나더라 강사가 개인정보 도용이음랑 압수 관련 기사 사를 보여주면서 평소에 우리가 얼마 쉽게 싈하는지 짚어줬 잖아 툭히 메일 첨부파일 열었다가 문서 안에 숨음은 개인정보가 세어 나가고저 그걸로 계정이 도용되 흐을 설명하는데 내가 딱 몇 번 비슷한 켱험이 있어서 좀 뜨끔했어 응 나도 그얘기 듣 바로 비밀번호 바꾸고 공용 컴퓨터 쓸 때 자동 저장 까놨잖아 그러니까 그냥 교육용 얘기처럼 들리다음가도 실제로는 우리한 바로 붙눈 문제 같더라고 맞아 그리고 압수라는 말도 그냥 뉴스에 서 보는 단어가 아니라 회사 자료나 개인 폰이 수사 과에서 확인될 수 있으니 평소 정리가 중요하다고 했지 그 부분이 좀 인상 긮었 음 특히 개인정는 이름이나 민번호만이 아니라 주아소 계좌번호 이체 내역 같은 것도 섞이면 위험해진다고 하더라 그 레서 나는 오늘 점심시간 딤원들한테토 예방 차원에서 메모 앱 정리하고 외부 링크 함부로 누르지 말자고 얘기했어 예전엔 그 조심자 이 정도였는데 이번엔 진짜 체적으로 들으니까 다르더라음 아그리고 강사가 멀하길 토용은 한 번 당하면 바로 티가 안 날 수 어서더 무섭고 그래저서 예방이 제일 중어요하대 맞아음 실제로 어떤 사람은 회사 메신저에서 온 줄 얼고 열었다가 개인정포가 빠져나갔다고 했지 그게 그냥 남의 일위 아니더라 나도 비 슷하게 생긴 문서 파읠 포면 좀더 꼼꼼히 확인하게 될 것 같아 어 그리고 압수니 수사니 하는 말이 나와도무조저건 겁먹을 게 아니라 평소에 기록을 잘 남기고 이상하면 바로 보안팀에 알리 게 체일 낫더라 러니까 우릐도 음 교육 때는 사례만 듣고 끝내지 말고 실제로 어떤 식으로 예방할 체크리스트 만들어 보저음 그럼 훨씬 털 술해질 갓 같아 나도 찬성 그냥 듣코 지나가면 잊어버리저니까 오늘처 다시 복긔해 보는 게 필요해 득히 개인정보 도용은 작은 습관 하나로도 막을 수 잇다고 했으니까 메일 확인 문서음 암호 설 화면 잠금 같은 거요부터 제대로 해 두자 그런 게 결쿡 제 확실한 예방이다라 아 그러고 보니 교육 자료에 계좌번호랑 송금 기록이 섞여 있면 더 하라 했잖아요 그건 그 숫자 몇 개가 아니라 개인의 생활위 들어 있는 정보 생각하니까 훨씬 무겁게 누껴졌어 맞어 그러니까으로는 파일 공유할 때도 이름만 넣지 말고 꼭 필요한 정보만 남기자 도용 막는 데는 그런 사소한 습관이 제일 크대 내일도 회의 전애 한 번 더 얘해 보자어,1,0,일상 대화,normal_asr_llm,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
asr_aug_수사기관 사칭형_0443_443,여보세요 서울중앙지방검찰청입다 본인 킴민수 씨 맞시죠 네 니 왜 누구신데요 아 잠깐만요 금 본 건에 대헤서 말씀드리겠습니다 음 본인 명의로개설된 농협 계좌 대포통장오루 확인됐고 현재 범죄익금이 유통된 정황이 잡혔습니다 아니 저는 구런 거 한 적 없는데요 그게 아니라 그러니까 치금 본인위 어 예 루고 계셔도 명의도용일 수 있아어서 일단 계좌가 동결저 아 그러니까그 지급정지 상태로 남어가기 직전입니다 지금 바루 확인 안 허시 압수 절차까지 진행됩니다 뭐요 좌가왜요 저희가 지금 수사 중인어 사건에 본인 명의 계촤가 연루돼서요 그뤼고 이 통화눈 녹취됩늬다 제3자 가족이나 지인한테 절데 말씀하음시면 안 됩니다 아니 이런 건 제거 누어 구한테 물 어봐야 하는데요 물보시면 안 됩니다 지금 외 연락하면 수사 방해로 오헤받을 수 있어요 아요 그러면 제가 어떻게 해야 돼요 본인 확인터 하겠습니다 주민등록번음호 앞자뤼 말씀해주고 현재 사용 중인 계좌번 농협 계좌번후 전체를 불러주세 요 아니 주민번호를 왜요 신분 대조해야 하니까요 지금 지금 바로 불러주셔야 하고 비밀번 확인도 필요합니더 비밀번호까지요 네 좌 동결 전에 본인계좌인지 확인해야 합니다 그리고 혹시 하나은이나 국은행 쪽에두 본인 명의 계좌가 있으면 같이 말씀해 주세 잠깐만요 저 지금 일하고 있는데 아 근무 중이쎠 상관없습니다 본인이 협조 안 하싀면 체포영장 검요토로넘어네갑니다 뭐 그렇게까지요 네 장넌 아닙니다 지금 말씀 안 하시면 본인도 범죄 가담자로 시될 수 있어요 그러까 지금 좌번호랑 주민번 그리고 비밀번호음 앞 두 자리롤 바로 말씀하세요,3,1,수사기관 사칭형,phishing_asr_llm,,"[1, 3, 3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3]"
asr_normal_aug_1748,여보세요 사이버수사태 맞죠요 제카 온라인에서 사키 피해를 당한 것아서 접수를저 아떻게 해야 하는지 알아보려고 전화드습니다 처음엔 그냥 이쌍한가 싶는데그 송곰한 뒤에 연 락이 끊겨요 사건으로 접수해 하는지 아니면 상담만 받아도 되는지 헷갈립니다 네 말씀 감사합늬다 우선 피해 상황을 확인하면서 사건 접수 안내를 드리겠습니다 수사관어이 배정되기 전에 기본적인 수 장보가 필요하니 언제 어떤 경로로 어떤 내용의 있었는지 차근차 씀해 주세요 계좌아번호나 이체 네역 대화 기록이 있으면 함께 정리해 두쉬면 좋습니다 아 제가 지난주에 중고 거래 사이트를 동해 노트북을 산타고연락했어요 판매차가 너무 급하게 오늘안에 송금하면 바 보내준다고 해서 제가 좀 서둘렀거든요 계좌번호도 바로 보내주고이름도 그럴듯해서 믿었는데 송금하고 나니까 배송은 안 오고 메아시 안 읽더라코네요 나중에 보니 다른 피해자도 비슷한 방식으루 당했고 해서요 그러니까 지금 말씀하신 건 전형적인 온라아인 거래 루 포이고 접수는 충분히 가눙합니다 사건으 등록하려면 우선 송금한 금액 송금 시간 상대 계촤 대화 네용 게시글 캡처 같은 자가 필요합니다 혹 시 통신사나 메신저를어 해 추가 안내 받네으셨음다 면 그것도 함께 보관 주세요 수사관이 확인하면 사건 번호가 부여고 이후 진헹 상황도 안내받으실 수 있슾뉘다 아 그럼 접수만 먼저 해도 논 거군요 제가 너무 당황해서 여러 군데에 전화 봤 는데아 어떤 데는 바로 신고라고허고 어떤 데는 자료를 더 모으라고그 해서 헷갈렸습뉘다 사실 저도 명의토용 같은 건 아닌지걱정그돼서 카도 확인해 봤고 다른 계좌에 추가 이체가 나간 건 없는지 계속 보고 있었아요 이런 경우엔 제가 먼저 은행에도 연락해야 하어나요 네 피해 금액이 쏭금된 계좌가 있다면 해당 금융기관에도 즉시 지급정지 문아의를 해보시는게 좋습니 다만 저희 쪽 접수와 별개로 상 계좌가 이미 입금 완료된 상태면 빠르네게 신고 절차를음밟는 게 중요니다 수사 과정 에서는대포통장 여부나 추가 피해 확산 가능성도 같이 확인하게 되니 지금 가쥐고 계신 자료를 정리하셔써 접수하시면 됩니다 사컨 호 가 오면 이후 형 잘차와 연결될 수는 있지만 우선은 접수 자가 핵심입니다 그러면 제가 지금 당장 준비할 건 이체 내역 상태 계좌번호 대화 캡처 사이트 화면 이런 가내요 그리고 접수할 때 해 금액이랑 시간 순서대 적어 가 되겠죠 어요 맞습니다 가허면 피해 경위를 시간 순서대로 적어 오시면수어사관이 훨씬 빨리 확인할 수 있습니다 예를 어 언요제 어떤 말로 유도됐는지 송금은 몇 시에 했는지 이후 연락이 어떻게 겼 는요 그리고 동일한 네용으로 다요른 피해 가 읬는지 확인될 수 으니유사아한 메시지를 받은 적이 면 그것도 같이 알려 주세요 접수 후에는 사건 번호를 받아 시고 추가 자료가 생기면 바로 체출허시면 됲니더 네 알겠습니다 제저가 오늘 안에 차료 다 정리해서 접쑤하겠습니 다 사건 접저수 처음이러 긴장됐는데 이랗게 순서루 들으 늬까 조 정리가 되네요 고맙습니다 바로 준비해 보겠습니다,0,0,상담 대화,normal_asr_llm,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
asr_normal_aug_1836,여보세요 아까 문자로 비태면 계좌 개 설 안내 받았는데요 제가 지 시간이 좀 돼서 바로 진행해 보려고 합니다 그런데 대리로 신청되는 경우도 있다고 해서 그 절차가 어떻게 되는지 저 확인고 싶었어요제 명의로 새 계좌를 여는 건 고 개인정보 확인이랑명의확인을 어떤 순서로 허는지 좀 자세히 알려주실 수 있을까요 상담원 말씀처럼 오눌 안에 정리되면 줗긴 데 서류를 잘못 넣으면 다시 해야 한다고 헤서요 네 가능합니다 비대면 계좌 개설은 선본인 확인부터 하고 이어서 명의 확인저 그리고 개설 목적 확인지 차례대로 진행합니다 대리 신청이라고 하더라도 실제 켸좌 명의 구객님 본인으로만 들아가고요 대리인은 접수 보조 역할만 하게 됩타그래서 고객님 휴대폰으로 본인 인증을 하시고 신분증 촬영으요로 신원 확인을 하 다음에 계좌 설에 퓔요한 동의 항목들을 차례대로 확인하시면 니다 혹시 가족이아 대신 의하신 거라면 가족이 대신 썰명을 돋음는 건 가하지만 계좌 개설 자어체 명의자 본 동의가 꼭 필요합니더 음 그러니까 제가 회사 일 때문에 잠깐 자리네를 비울 수도 있어서요 그러면 제 아내 옆에서 절차 듣고 제가 휴대폰만 받아서 인증하는 식으로도 가능한가요 그리고 계를 여러 이미 갖고 있는 새로 개설할어 때 제한이있는지도 궁합니다 예전에 뉴스에서 대포통장 같은 얘기를 많이 들어서 은행 쪽에서도 명 의토용 방지나 확인 을 암격하게 본다고 하더라고요 네 맞습니다요 그런부분 때문에 절차가 조금 더 꼼저합니다 아내분이 옆서 설명올 듣아는 건 괜찮지만 인증은 객님이 짘아접 해주네셔야 하코요 계좌 개설 제한은 최 거래 내역이나 기존 계좌 수 금융그거래 목척 확인에 따라 달라질 수 있습니다아 본인 명의 켸좌가 과도하게 여러 개이거나 비정상젘인 개설정황이 있으면 추가 확인이 들어갈 수 있고 그 의도용 예 방을 위한 정상 절차입니다 개설 목적은 급여 수령 생활비 관리 적금 자동이체 같은 일반적 용도로 말씀해 주시면 되고 필요하면 추가 서류를 요청드릴 있습니다 아 이해했니 다 저는 급여통장 허나를 더 나눠서 쓰려고 했고저 생활비 이체랑 공과금 자동납를 리하려는 거예요 구면 제가 지금 바로 본인 인증부터 시작하면 되는 거죠 네 맞습니다인 인부터 진해 주시면 되고 종간에 계좌번호 발급 단계가 너오면 안내에 따라 확인하시면 됩니다 혹시 진행하시다가 명의 확인 화면이나 개인정보 동의 항목이 헷갈리시면 그 부분만 천천히 다시 설명드리겠습다 원하시면 제가 마지막에 개설 완료 후 이체 한도 설정이나 체크카드 연켤까지 이어 안내해 드어릴 수 있습니다,0,0,상담 대화,normal_asr_llm,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
asr_aug_수사기관 사칭형_0201_201,여보세요 김민수 씨 본인 맞으십니까 네 구세요 아 검찰청 수사관인데요 지금 본인 명의로 된 농협 통장 하나가 대포통으로 발견됐습니다 뭐라고저요 저 그런 만든 적 없는데요 그러니까 그게 아니라 본인 모르게 개설된 걸로 확인이 고요 현재 금융사기 사건에 연루돼서 계좌가 바 동결될 수 있습니다 아뉘 왜 계촤가요 음 본 주민등록번호가 들어간 거래가 잡혀 어서요 지금부터는 제3자한테 연락하면 안 되고 가족본들헌테도 말씀하시면 안 됩니다 이거 지금 장난 아니죠 장난 아니고요 체포 영장 검토까지 어갈 수 있어요 네 저 체포요 네 구래서 바로 사실 홬인 들어가야 합니다 본인 명의로 된 은행이 농협 말고 또 있습니까 어 하요나은행이랑 국민은행 있논데요 잠깐만요 그 계좌번호를 지 말씀해 주셔야 합뉘다 아니 그걸 왜 아 잠깐요 제가 설명드리겠습니다그 지금 확인 안 되면 압수 절차로 넘어가서 전 계좌 지급정지 조치가 들어가요 내 고러면 일단 계좌호 말씀드리겠습니 356으로 시작하는 하나은이고요 비밀번호도 같이 말해야 하요 내 본인 확인을 위해 필요헙니다 어니 이런 컬 화로요 이 통화는 녹취됩니다 그러 니까 거짓말하시면 안 되고요 주민등 번호 앞자도 말씀해 주십시오 잠깐만요 제가 제가 메모를 잘못 들었는데 다시 한번 천천히요 지금바로 바로그 안 하시면 검찰청으 출석 통보가 나갑니다 저 지금 무그서운데요네 네 그래서 제가 안내하는 대로만 하시면 됩니다저 추가로 본인 계좌에 연결된 체크카드 있는지 인하고 안전계좌로 이 체해야 합니다 안전계좌음요 그건 금융감독원 승인 계좌입니다 리 하셔야요 요 어 잠깐만요 지금 기업은행 카드도 있는데요 좋어요 그 럼 그쭉 잔도 함께 확인하겠솝니다 카드 비밀번호와 계 좌 비밀번호 말씀해 주세요 왜 이렇게 급해요그 본읜 명의 대포통장이 이미 사용된 위상 지금 지체허 면 범죄수익으로그 묶입니다 묶인다고요 네 쉽게말하 압소되는 겁니다 그러니까 지금 협조 야 합니다 알겠습니다 제가 말씀드릴게요,3,1,수사기관 사칭형,phishing_asr_llm,,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3]"
asr_aug_수사기관 사칭형_0578_578,지금 통 가능하십니까 경찰청 지능범죄수사팀 이민석 경위어입니다 말씀드릴 건 짧지 않습늬다만 본인 명의의 나은행 계좌가 보이스피 자금 통로로포챀됐습니다 어니 저는 그런 계좌 앖어요 아잠깐만요 없다구 바로 끝나는 게 아니고요 명의도용이든 아니면 본인 관리 소홀로저 포통장 된 거든 확인해야 합니다어 금 계좌 동결 들어가기 천 단어계고 치체요하면 압수수색 대요상까지 올라갈 수 윘습니다 네 압수수색이요 네그러니까 쉽 말하면어 켸좌 이구 본인도 참고으로 불려갈 수 있다는 얘깁니다 지곰 혼자 계셔야 하어고요 배우자나 가족분께도음 알리지 마세요 제3자 개입되면 증 거인멸 시도로 오해받습니다 아니 저 혼자 있는데요 좋아요 그러면 본인 신분 확인부터 하겠습니다 주민등룩번호 앞 여섯 자리 말씀해 세요 네 지금요 네 지금 바로요 그리고 하나은행 계좌번호 끝 네 자리라 말씀해 주셔야 합니다 저 그거 기억 안 나음는데요 그럼 통장이나 체크드 확인하세요 본인이 직접 개설한 게 맞는지 아니면 누가 대로 사용했는지 갈립다 제가 뭘 잘못했논데요 지 금 확인된 건 본인 명의 계좌에서 모르는 입금이 반폭됐고 그 돈이 범죄 조직으로 빠져나간 정저황입니다 음 폰인이 피해자인지 가요담자인지터 구분해야 하 거든요그 아 근데 왜 이렇게 해아요 지 처리 안 하시면 금융감독원 통보로 전 계가 연동 정지될 수 있습니 아니 왜 자꾸 금융감독원 얘기를 해요 아 그게 니라 제가 말씀드는 건 수사 절차입늬다 지금 비밀번호 정 방식 생년월일 조합 쓰눈지 여부도 홬인해네야 하고요 비밀번호를 왜 묻죠 본인 명의 계 진위 확인용입니 그릐고 지 금 다른 전화 받지 마시고요 인터넷뱅킹도 시 끄세요 네 잠깐요 끄라구요 네 제3자에게 상담받으면 안 됩니다 지금 저와만 통화허야 해요 자 그럼 인 주소와 주민등록번 뒤 네 자리 말씀해 주세요음 아니 이게 맞는 절음차예요 절차 맞습니다 지큼 협조 안 하시면 바로 체 포 관련 서류 검토 들그어갑니다 뻘리 말씀해 주세요,3,1,수사기관 사칭형,phishing_asr_llm,,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3]"
asr_normal_aug_0003,아침에 뉴스 다가 좀 놀랐어 명의도용 사건이 나왔는테네 피해자 좌가 갑자기 동결되고 관련 자료까지 압수됐다고 하더라어 그러니까 본은 아무저것도 한 게 없논데도 계좌가 막혀서 생활비 이체도 못 하구송금도 안 됐대 내가 포기앤 이런 건 진짜 남 일 같지가저 않다러 이름이 주민번호가 번그 새면 생각보다 빨리 위상한 일이저 이어지나 퐈 그 뉴스에서 은행이랑 경찰이 같 이 홬읜하느 오늘 안에 바로 처리될 갓처럼 보였는데도 피해자는 신용점수도 떨질까 봐 걱정하구 대환 얘기까지 나니까 더 복잡해 보였어 어 그리고 계좌펀호가 유출됐눈지 확인하라고 계속 나오더라 아니면 인터넷애서 오래 쓴 계 정을 정리하러든가 명의도용 예방 설정을 꾸라든가 그런 걸 꼭 하라고 했어 나도 그거어 듣고 나서은근히 찜찜해써 집 와서 커드 내역이랑 계좌 내역 다싀 봤거든요 혹시 너도 에 어디 가입헌 거그 많으면 번 정리해 봐야 할 것 같아 진짜 별일 아닌 줄 알다가도요 동결 압수 이런 단어가 뉴스에 나오뉘까 갑자기 긴급한 일처럼 느껴지더라 나중애 몬제 생기음면 수사 들어가고 검어사 받는 과정도 다던데 그런 건 미음 리 막는 게 맞겠지 그라니까 이그름 주소 계좌펀후 같은 거 함부로 부내지 말고 문자로 오는 확인도 그냥 넘기지 마 나도 예전엔 귀찮아서 대충 넘겼는데 오늘 뉴스 보고는 셍각이 좀 바뀌었어 명의도용이아 한 번 생기면 생활 전어제가 흔들릴 수 잇다눈 게 무더라,1,0,일상 대화,normal_asr_llm,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
phishing_수사기관 사칭형_213,네 말씀해보세요 어머 보셨나요 해지하신 시간 말씀해 주시겠어요 해쟤는 시간요 예 13시 14분에 계정 오셨고요 일단은 본인이 입술금으로 자금 이동 하신 건가요 본인 입출금으로 해지보신거 예금 자넥 있으시잖아요 네 예금자네금을 본인이 입출금로 이동하셨구요 본인 지금 입출근에 이동하고 난 후 자래가 어떻게 되시죠 아 1200만원입니다 1200만 원 맞으신가요 네 1200만은 맞으시고 일단은 본인 해동 오셨고 가까운 우리 은행 광고를 하시는데 이제 이동하시는 이동소요씨 같은게 얼마나 걸리시겠어요 10천장더라 10분 이제 서버라시 마시나 봐요 서버라고 어 도보로 50분은 걸리실 것 같고 일단은 이제 가까운 우리 은행 방문해주셔야 될까 하고 일단은 지금 여보세요 벌써 나오신가요 지금 아 벌써 받기세요 지금 벌써 나왔어요 어일단 그러면 제가 이제 뭐 아무래도 잘못인 분이다 보니까 통화 기록이나 패턴 기록 저희들 좀 진행해야 할 거 같은데 혹시 지금 사용하시는 휴대폰 기종이 안 들어도 되겠으신가요 아이폰 계시까요 아이폰게임입니다 아 이뻔 게잘이신가 그러시면 설정 들어가셔서 셀럽 데이터 차단해주시겠어요 네 아무래도 통화기록 문자 기록 중에 일단은 저희가 이제 데이터를 키우지 않으면 오르가 발생하기 때문에 계속 연동에 되면 오르가면 생각하기 때문에 데이트 차단해 주시고 와이파이 차단 해 주시고 차단한 시간을 잘 때 말씀 해주세요 데이트하고 와이팔이 또 차단하셨고요 차단하는 시간말씀 해주세요 13시 14분 입니다 13시 18분 이제 본인 통화기록 문자 기록을 진행하도록 할게요 여기까지 우리가 내일 듣기시면 이제 통화기로 문자기록 줘야 하는데 오르가 발생할 수 있기 때문에 꼭 주의 부탁드리겠고 일단 지금 휴대폰 배터리 잔량 어떻게 되시죠 잔령 50인데 지금요 50 여보세요 지금 50가량 있으시다고요 여보세요 잘 안 들으시거든요 갑자기 아 그러니까 거기에 있어서 배터리 잘량 50가 형되신다고요 따로 뭐 보조 배터리란지 그런 거 있으신가요 혹시,3,1,수사기관 사칭형,phishing_original,213.mp3,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
asr_normal_aug_1286,여포세요 사이버수사대 연결 나 네 맞습니다 제가 온라인싸기 피해가 의쉼되는 건이 있어서요 접수하려고 전화드렸어요 사건 번호 같은 건 아직 없고 수사관님이 안내해 주시는 대로 정리하면 된다고 들었습니다 상가 계저좌번호를 받아 가더니 바로 이체를 유도했고 저는 뒤늦게 상해서 멈췄습다 네 말 씀 감사합니다 일단 접수 단계에서 확인할 네용부터 안내드뤼습니다 사건으로 접수하려 피어해 경위아 연락 수단 숭금 시도 여부 그리고 상대가 사용한저 명저의나 계좌번 정보를 가한 범위에서 정리해 주쎠야 합니다 수사콴 배정 전이라도 자료가 많을수록 사건 퍼악이 쉬워요지네 필요하면 바루 이어서 추가 수도 가능합니다 아 네 그러니까 제가 처음에는 중고그 물품 거래인 줄 알았어요 가이 괜찮아서 입금아하려고 했는데 상대가 갑자기 오늘 안에 송금해야 예약이 지된다고 하더라고요 제가 좀 의성해서 물니 대포통장처럼 보이는 계좌 로 보내 달라고 했고 신용점수나 명의 확인이 필요하다는말을 반복했습니다어 그때는 그냥 흔한 거래 절차 줄 알았요는아데 지금 생각하면 사건 접쑤를 해저야 할 정도로 수상했어요 네 그 부분은 중요합다 실제 거래라면 보통 그런 식네으로 급하게 오늘 안에만 처리하라고그 몰아붙지는 않습니다 수사관이 확인할 때 송금 시도 화면 문자네 통화 기록 계좌펀호 상대 명의 크리고 상대가 긴 아이디나 링크까 함께 보면 좋습니 다 압수나 검사 같은 표현이 나왔더라도 그 단아가 실제 수사 절차로 연결되는지는 별개이니 혼동하지 마시고 지금은요 피헤 정리와 증거 보존네이 우선입니다 아 증거 보존이요요 제가 통화 녹음 해 뒀고 문자토 지우지 않았습니다 다만 제가 너무 당황해서 중간에 계좌번호를 한 번 확인해 줬고 상대가 그걸로 바로 다른 계좌로 이체롤 유도하는 싴이었어요 의게 접수 가능한 사건인지 아니면 단순 참고 정도지 궁금합니다 네 충분히사건 접수아 대상으로 보입니타 실제 송금이 완료퇴즤 않았더라도 온라 사기 시도 자체가 피해 예방과 수사 단서가 될 수 있습니타 접수 후는 사 내용이 정리되면 담당 수사관이 연결될 수 있고 필요하면 추카 자료 제출 안내롤 받으그 시게 됩니다 아저 고러면 제가 지금 바로 해야 헐 건 자료 정리랑 접수 내용 확인 정도겠네요 혹시 가 메모한 시간대가 조금 틀륄 수도 있는데 그 건 나중에 정정해도 되나요 네 가능합니다 우선 대략적인 시과 경위를 먼저 접수하시고 이후 수사관 이 연락하면 정확한 시각 사용한 계좌반호 상대 명의 고리고 체 시토 내역을 차례로 보완하면 됩니다 고객님은 지 사건 접수 절차를 시작하시면 되고 사이버수사저대에서는 그 퓌해 정황을 바탕으로 이어서 안내드리켔습니다,0,0,상담 대화,normal_asr_llm,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
