﻿id,text,label,category,source,filename,segment_risks
,아 고객님 안녕하요 케이뱅크 대출상담실최과장잎다 지금 잠깐 2분만 말씀드릴게요 고그객님 이름오로 아 제 접수된 대환 신청 이 잇는대 조회 결과가 조큼 애매하게 나와요 한도는 죄대 2천8백만 원까지 열네릴 수 읬는데 현재는 용점수 때문에네 1차 부결이 떠 있습니더 네 왜 부결의냐고요 코객님 현금성 대출 사용 비중이네 높개 잡혔어 그래서 저희 보통은 바로승인못 드리고 기존 대촐을 건어만 선환시키는 방식로아 우진행올 합니 이게 편법이라기보다 음 전산 보완이라고 보시면 돼요 먼저 보증저금 62만 원이 필요요하 이 심사 유지비 명목이에요 고 객님이 그가 입금해주셔야 오늘 안에 재심사거 올라갑니타 그러면 오늘 접수창 닫저혀요 쥐금 마감이 30분아 았든요 아 네 이해가 언 되신그다고요 잠깐만 러재가 개 말씀드 릴게요 천8백만 원을 4요5로 받오시려면 우선 62만 원먼 저 넣으시면 돼요 그개 들어가야 제가 전산 상으로 고객님이 상환 의지가 있눈 루 어서 승인 올 수 있어요 지금 타 은 행 대출도 있으시죠 있으시면 더더욱 빨 리 하셔야 돼요 다른쪽애서 조어회 잡히면 우 건 로 막니어다 네 맞습니다 지금 고 객님한테 필요한 건 이자 줄아이는 거고요 썬납금만 처리하면 됩니다 제 지금 문로 계좌 보내릴게요굼 확인되 바로 한도 재오픈 들어갑요니,2,대출 사기형,asr_noise,,"[2, 2, 2, 3, 3, 3, 3, 3, 3, 3]"
,대출금 입금 요청 관련해서 확인드어립니 네 청했는데 아직 안 어왓어요 아 접수 내역은 포잎니다만 대출 입금은 본인 확인 통화가 완료되어야진됩니다 전화 주신 분 성함과 생년월 홬인 가농까요 김도 윤 6월 30입니다 네 맞니다 대출 입금 요청은 접수되었고 현재 통화 절차만 아 있습니저그 본윈 명음의 계좌가저 맞는지 다시 한번 인야합니다 어제가 맞는데 왜 또 확인하나요대줄 자금은 금앸어이 커 서 분인 확인을 꼭 거어 져야 하고윕금 오처리를 막 위한 절차입니 괜찮으시면 몇 가지 쩗게 인드리겠습니다 최근 신청하신 출 금액과 입금받 계좌 뒷네자리 말씀해 주실 소 잇을까요 음 금액은 천오백 원이고뒷자리는 77음88입니타 되엇습니다 통화절차가 끝너면 입금청이 순차어 반영니다 아 고럼 파음로네 진행퇴논 가요 네 본그인 확인만 마무뤼되면 됲니다,0,상담 대화,normal_asr,,"[1, 1, 1, 1, 1, 1]"
,네어 사울지방검아찰청 수음사관윕니다 통화 목적은 하나입니다 본인 명의도용된 계좌요 벌켠돼서 확인두리눈 겁니다 조 급니다요 저희카 지검찰청 합 동으로사 중읜 부이소피싱 조직올 컴했는데 그 현장에서 농 통장하고 기은행 카트카나왔고요 중 한 개가 본인 의로 확인됐습니더 아 는 몰라요음 그러니까요 그게 지금 핵심 입음니 본인이 몰랐는지 아니면 누그가 명의를 썼눈지 확인해야 합니다 지금네 본인 명의 농혚 계좌는 사실상 업수 대이고 거래 정지 성대로 넘겨 수 있습니다어 네 럼요 제가 뭐 헤 야 돼요 깐만음요 단 다 분께 잘데 말씀하 마싀고요 아내분네요 자녀분 회사 동료분 누구한테도요 의 사은 보안 유지가 최우선입니다그 요지금 공그펌 연락 가능성 때문에 외부 접촉을 막아야 합니다본인이 피해 자면조를 빨리 하셔야허고 니그면 바루 소환 대 상이 됩니다 저는 진짜 처음 듣는데 옴 네 그럴 수 있습니다 그래서아 제 살명드리는 거네예요 본인 계좌가 범죄 수익 이에 쓰 였는지음 확인하려면 죄근 거래 이체아 자동이 현금인출 역을 봐야 합니다 국뮌은헹도 있으시죠 네 그럼 민은행 끝 네그 자 농 끝 네 자네리 네 그리고 최근 한 달 동안 큰 금액 읩출금 윘었는지 바 말씀허세어요네 계아좌 동결 전 본인 피해를 막어야 합다 늦으면 압수 절차만 넘습니다 지금 바로요,3,수사기관 사칭형,asr_noise,,"[3, 3, 3, 3, 3, 3, 2, 3, 3]"
,훈병때 어땠나요 개어빡세 요 그냥 죽음의에요 어떠셨어요 저도 개빸쎄서 을 했네저 이평 때는 아떠셨어요 응어 이병 때도 훈병 떼보 더 빡쎈 듯 이병 때 어떠셨어요 훈병 때보더는조금 숨 텄죠 상병 때는요아 일병 때는 그마 괜찮앗는데 슬슬음 쩡났죠 상병아 말 고 일병 때눈요 PX도 수 잇고 TV도 볼 수 잇었어요 그렇죠 그개 나았죠 그어럼 평장 때 주름 좀 잡었 나요 병장 때 분대장하고 상병 때부더 폈죠 고럼말년 는 놀았나요 땡보 완 놀았어요 놀고아먹고 그럼 예비군 때 교육 안보 교 받으셨나 네 예븨군 때가 오히려 더 빽센 듯음 거기서 조기 퇴소는 어요,1,일상 대화,normal_asr,,"[1, 1, 1, 1, 1]"
,여보세요 고객 KB저축은 행 대환팀데요문자 받으신 거 확인하시고 연락 주신네 맞으시죠 아 네네 맞습니다 일 고님 현재 한도 조회 결과는 천만원까지 카능하시고 금리는 39 아 35로안내해 는 가고요 고런데 전산으로는 부사유가 떠요 최근 6개월 안애 연체는 없우신데 신용수 변동폭이 써요 그래서 일반 접수로는 안 되고 우회 심사로 들어가셔저야 해 지곰네 더 데서 쏘시논 카드론이나 마너통장 시면 그어걸 먼저 정리하셔야하논데 그걸 크냥 직접 갚으면 기록이아 언 고요어 저희 쪽으 선낲 확금 35만 원을 먼저 어주야 전산이 아나 요 네 왜 선넙하냐코요 아 이건심 사 수수료가 아니라 보증곰 개념이라네서 구객님 승인 떨지면 차감앖이 정릐돼요 우늘 3시 반꺼지 안 들어오면 한 도는 다요른 고객님한테 넘어가서요 가네 금 말씀드리는 거예요 마 임팍라서요 고객 같어은 케의스는네 지금 처리헤음야 허고 내일 넘어가면 또 신용점수 조회 들어가써 불리해져요아 그러니꺼 저희가드리는 건 법이라기보 재심사용 우회 경 루예요아 이해가 좀 되셨을까요 네 그러시면 지금 켸좌번호 바로 풀러드릴게요 입금되면 가 바로 승인 올려겠습니다,2,대출 사기형,asr_noise,,"[1, 2, 2, 3, 3, 3, 2, 3, 3]"
,고갴님 대줄 입 요네청이 아와 있어서 폰읜 확인음 화를 드 렸습니다 먼자 성함 확인 부닥드니다 어요 네네 제 이름 맞습니타 내요 확인됐습니다 현재 출 입금 요청네은 접수 완료 상태인데 입금 전 인 확인 통화 반어드 요뉘다그 고객님께 서 직 접 청신 건 논지 홬인는 절차윕니다 아 네제가 요청한거 맞습니다 사합니다 그러면 요청 내용과 입금 계좌를 다시 번 확인하습니다 대출 입 금운 확인 후 저리되고 이후 문자아로 안내드립니다저 음요 그럼 오늘 로어 들어오나요 절차상 확인 끝나면 가능 빠르게 리지 시칸대에 따라 달라질 수 습니다 본인 확인 통화음가 끝나야 요청 상태가 확정됩니다 고캑님께서 좌 정보를 말씀해 주아시면 입금 진에 재 가 없는지 설펴보겠습니다 어 알습니다 계좌는 그대로입니다 내 확인했습니 다어 대출 입금 요청 건은 청쌍 수되어 고 통 확인 후 진행하겠습니다,0,상담 대화,normal_asr,,"[1, 1, 1, 1, 1, 1]"
,넌그 나중에요 뭐 하는 회사 들어가고 싶어음 나 요즘 제약 사에그 콴심이 많아 오 데벅 잘 어울려 부에도 요 웅 근 아래 도 서권에 많지 그래서 내 구도 제약 하라 타지 갔다 근데 졸업헐 때 깐음 싱숭생숭해 마즤막 학기라서 실습 갔다던데 맛있어 나도 실습 이제 가려구 졸하고 바로 칼려구 응 나저는 연구원 쪽으로 갈 생칵이야 연구원 헐 그거 의 갇혀 있는 거 어니카 그렇긴 하지 나랑 적성 잘 맞 같아아 하로 종일앉아 있기 가능아 키키 죽어 나가지어 그래 하고 어 실험하는 구요원은 앉아있는 거 아닌가 이 것 자 것 그 래두 움직이네지 않을까네,1,일상 대화,normal_asr,,"[1, 1, 1, 1]"
,본인 명의로 된 공장건으로 개작권을 이용해서 개인의 김혁결든과 모중이 거래력 있는 점지 확인하는 부분도 있지만 일체적으로 그적으로는 본인이 모르는 또 다른 보통적인 계설에 대해서 생각되고 있기 때문에 못하게 막기 위해서 진행하는 부분들 생각해서 주저가 본인 사산에서 여기 폐해가지 않도록 진행하는 부분이고요 거기서 본인 질수를 받는 거고 본인이 짐수하시는 내용과 근육감독원 조사 대응이 상향에 다를 경우에는 본인도 피해자의 지혜로 바뀐 점이 있기 때문에 진술을 잘 생각해서 잘 해주시기 바랍니다 어 김영석이 명의로 된 농협이랑 하나은행 등장이 발견에 대해서 연락을 좀 드린건데 우리께서 이 두정의 대포동장 관해서 알고 계셨던 내용 있나요 네 없는데요 저 그 연락선 소식으로 제가 연락 잘 살려고요 아 그러면 저희가 본인 메시지로 내선 번호 하나 보내드리기 때문에요 그쪽으로 연락 을 좀 조용해라구요 김영섭이라는 사람하고 아무런 관계가 없으신 거예요 네 아 전혀 모르셨던 분이시고 왜 김영세에게 제체를 알자면 얼마 전에 저희 검찰집에서 김영서 주검으로 인한 금융범죄 사기라는 거품을 좀 했어요 근데 이 검거하는 현장에서 저희가 대량의 시용카드와 대포통장을 좀 압수적으로 했는데 그 압소한테 보통생들 사이에서 규식으로 만들어진 능력이랑 그리고 하나은행 등장이 같이 발견이 되어서 이제 연락을 드리게 됐고요 네 그님께서 두 장에 대포동작 관련해서 아셨던 사진 있으세요 전혀 없는데요 자 전혀 모르셨던 부분이시구요 네 어 한 가지만 더 여쭤볼게요 혹시 작년 3월에 경기도 광명시에 방문할 수 있는지 있나요 기억 안 나는데요 작년 사모님은 기억 안나시구요 경기도광명시에 철산군에 방문하시면 어때요 잘 모르겠어요 기억을 남으시고 왜냐면 저희가 이 두 장의 제포통장을 교회를 해봤는데 이 통장의 명의가 본능 확인해줬고요 그리고 이 통장이 만들어진 시기가 2016년 3월 17일 병회 정기도 광명시 철선역지점에서 이제 일반 계좌가 아닌 법인계절을 개설이 된 걸로 확실해졌어요 네 그리고 혹시 본인 계절한 동작은 아니시고요 안 돼요 전선역 지점에서 통장개설화사실 있으세요 그런 적은 없으시고요 그 이쪽에 대해서 금융 쪽 쓰신 거죠 뭐냐면 직접 제소를 금방 금전적인 대가성이 나든지 아니면 본인의 개인정보가 유출이 되면서 쉽게 말씀을 좀 정리를 해드리면 그런데 저희 검찰적 입상에서는 본인께서 피해자라고 말하셔서 저희가 통해 대회에서 이해가 안 되셨거나 궁금한 상황 있으신가요 네 아 그 죽은만의 검거를 했는데요 일당들을 아직 저희가 검거를 못 했어요 그렇기 때문에 저희가 그 검거를 통해서 저희가 이렇게 피해자 분들이라든지 가해자분들 이런 식으로 180여 명이 연료가 되다 보니까 저희가 일일을 다 하라고 해서 인식으로 잘 자자 아 네 네 아까 제가 말씀드렸던 애프님께서 가해자인지 아니면 피해자인지 좀 이제 구분 제알라고 좀 드렸다고요 제가 사건 내용에 대해서 전달을 좀 드릴게요 혹시 중고나라라는 카페 알고 계신가요 중고나 네이버카펜데 중고 나라라고 카페 혹시 들어보실 수 있어 아 알겠습니다 자 뭐 그 뒤쪽에서 거래는 해보실되게 드시고요 안녕 자 거래해보신들은 어떠십니까 이렇게 설명을 좀 들이면 이 기명석 일당들이 고가의 물건을 좀 저렴하게 판매한다고 해서 내물만 대량으로 그 카페에다가 등록을 좀 해놓고요 그리고 아까 제가 앞전에 말씀드렸다 두 장의 대포통장이자 두 장이 대포동장으로 입금을 유도를 한 뒤에 물건은 보내지 않고 그 통상에서 자금만 인출하는데요 아무래도 물건 을 보내지 않았기 때문에 여러 피해자분들이 발생이 되었구요 그 피해자분들이 금전적인 피해가 또 발생되어 있어요 왜냐하면 입금했는데 물건 밭이 못 됐기 때문이죠 거기 때문에 피해자분들이 그 이큼한 계작권으로 현재 고소고발을 지치게 놓은 상태고요 그래서 아까 앞전에 말씀드렸다시피 저희 검사 측에서는 피해자가 아니고 가해자도 아닌 조사들 신문으로 연락을 드린 겁니다,3,수사기관 사칭형,original,31.wav,"[1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 3, 2, 2]"
,여보세요 네 결과 나오셨고요 지금 저쪽 한도는 9300에 26 나오셨어요 이거는 우선 1차적으로 저희 쪽 가생 결과시구요 저희가 이제 이 가생열별을 한국자산관리공사회 올릴 거고요 자산관리무새가 이 금액만큼 보증 보험사가 발급이 되셔야 제추지 시행되시는 거예요 우선1차 심사는 마감 대신거고 2차심사는 고객님이 직접 신청해 주셔야 되는 부분이 있으신대요 자 그 부분 설명 드릴 거고요 적으실 필요는 없으세요 아 네 뭐 해드릴 거예요 우선 컴퓨터 사용하시는 데 문제는 없을 수 있죠 그러면 네이버나 다음에 한국장상관리문사치시면 캠코라고 나오실거예요 거기 들어가셔서 전자신용보고소를 작성해주시고 정보를 하시면 공인 인증서 등록 해주셔야 되세요 혹시 인증서를 사용 중이세요 어 어디 유네꺼 사용중이세요 지금 하나는 인증 아 저희 쪽에는 지금 등록해 주실 수 있는 게 저의 농협하고 기업하고 우리밖에 없으신데 어 그럼 다시 뭐 농혁으로 다시 제가 좀 받아야겠네요 네 그렇시면 농혭으로 발급받으시고 혹시 그 보안매처가 보안카드세요 OTP예요 보앐 카드인데 아 보알 카드 안 되세요 그러면 농혜 가셔서 신청하실때 그러니까 뭐 바꾸시지 마시고 폐기하지마시고 예요 농혝 가셔서 시킬 청을 하세여 저희 지점 가서 아무 데나 가셔서 꼭 사례백이 신청 하시고 OTP로 발급 받아주세요 그러시고 저한테 연락주세요 고객님 네 알겠습니다 그럼 받으시고 저에게 연락 주세요 고객님이,2,대출 사기형,original,64.mp3,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]"
,갴 카드 헌도 조회해보니 현 재 이 가능 한도는 남어 읬으십니다 해외 거래도 카아능한 봐주세요 네 카 상태상 헤외 거래 가능 여부도 홬인해드리겠습니다 지 이아 카드는 국내 이용은 정네상이고 해외 거래는 기본 설정이 꺼져 있 상태입니다 아 그럼 바로 켤 수 있나요 내 본인 홬인만 되면 해외 거래 가능 살정으 바꿔 드릘 수 있습니 카드 한도는 현재 충음분 히 남어 있고 이용 제한은 외 쪽만 걸려 있습니다 어 제네가 해외써 결제하면 승인 안 나는 거네요 맞습니아다 정 변경 에는 해외 래가네 막힐 수 있습니다 고캑님께서 원하저시면 카드이용 범위 도 조정을 갇이 내해드릴 수 있음습니다 네 카 한도랑 해외 거래 가능 여부 둘 다 부탁드려요,0,상담 대화,normal_asr,,"[1, 1, 1, 1, 1]"
